ell,Cl,dCl
33.5,0.010528456687266227,0.004420211507680454
97.5,0.03136127305167595,0.0021978517330901825
161.5,0.02060390535781478,0.0013517250773519025
225.5,0.01608128613220307,0.0010522416107959273
289.5,0.014195590228875715,0.0008845256787668815
353.5,0.008693801636954893,0.0007347165033491682
417.5,0.008538298743012077,0.000611940687894169
481.5,0.00550920557927537,0.0005294179894087578
545.5,0.006032457138498523,0.00047853308197598764
609.5,0.0044819478507105584,0.0004462200751700716
673.5,0.003930010912784921,0.0004174291481596067
737.5,0.002780217117127038,0.0003891211502042547
801.5,0.002929340200641598,0.0003672262447723547
865.5,0.003064153293959893,0.0003544406043208858
929.5,0.002215129113197509,0.00034651894146810967
993.5,0.002159699163782718,0.0003417636194424116
1057.5,0.0021318358635428122,0.0003346798846195565
1121.5,0.0007540470405008615,0.0003305272120882945
1185.5,0.001984437818096507,0.0003340381167950783
1249.5,0.0014944153776729645,0.0003415806840853701
1313.5,0.0017190267030195827,0.00035070909912319527
1377.5,0.0009090149884755773,0.0003560144743072646
1441.5,0.0011800254799344534,0.00036331944188274407
1505.5,0.0009528874429622457,0.00037611852425583226
1569.5,0.0004866336697174444,0.00038708887094935566
1633.5,0.0008784499613556022,0.0003938613557431136
1697.5,0.0005247759491315523,0.00039917217644440004
1761.5,0.0006460973173574593,0.0004042327338901631
1825.5,0.0013957830591224919,0.00041312295371371947
1889.5,0.001145973150522393,0.0004240337931546694
1953.5,0.0007945731135837505,0.0004285708337901002
