# Binned CIBxCIB cross power spectra
# Units are Jy^2/sr
# Columns are bin centers ell
# Cl value (e.g. 353x353) and error dCl
# within a bin (e.g. d353x353)
#ell,353x545,353x857,545x857,353x353,545x545,857x857,d353x545,d353x857,d545x857,d353x353,d545x545,d857x857
33.5,24888.15206365279,47794.24798251703,168033.3287979626,8753.191021687537,79173.41698392076,431070.3749686149,2673.2740623519203,5685.932581896137,16427.34868698393,949.1143587015141,7630.658932792673,36349.16089049757
97.5,31759.79016294188,61502.01120377525,192169.51758136105,11253.02610903016,94297.57088271486,442313.4888126788,1436.1953507675123,2840.0407066626717,8023.579074400211,522.2238643492419,4001.0087803813885,16460.784270152104
161.5,21360.538991868445,40523.49293079838,122037.7949026455,7538.280544060467,62011.3903711981,264039.8126553822,723.4025634624628,1406.3764595308419,3918.025969711044,267.3449152463118,1985.9119468022736,7913.21263002148
225.5,16275.187344477967,29832.04011394527,90353.01755037122,5810.410435064728,47372.6697631867,188148.81177039244,447.3656473782645,858.9709513395849,2367.468078639852,167.0662610150776,1215.59557327864,4718.780889071457
289.5,12706.982041650566,22605.80540901549,66722.57000472737,4602.249479364245,36103.00391181323,135938.03538909246,296.8388087568826,560.9520823735047,1522.2686573040642,112.74314155122678,793.8797644644053,2991.8069862945695
353.5,9477.042471431076,16739.372536867497,49703.649017660646,3478.4284589477274,26946.309996208005,100404.76984365826,206.10960175207967,387.23633550562187,1040.0103109368104,79.28308049573265,545.2411005963767,2036.0349034562553
417.5,8358.887609044154,14889.031999041863,43633.40154797189,3062.021596444781,23714.598042715046,87694.51287532244,152.0552031347599,285.0041666778293,758.4074425825049,59.11117497020076,398.65046657324075,1481.487478306896
481.5,6827.6728079042705,12071.89088728484,34945.30358281636,2489.37441967767,18980.83946750221,70575.28301329513,117.54235743092639,218.93012309629182,576.2651606313142,46.24733118334895,304.9255397615519,1119.2660734792214
545.5,5903.2902605454055,10303.371657131147,30429.116078133586,2171.244339346704,16703.957046278178,60659.40986045484,93.26094929992637,172.82490075595646,450.14115127869655,37.151732171602504,239.41580981038925,871.0463518567461
609.5,5110.8185229705905,9016.595656495736,25690.4420405123,1886.4628981756728,14051.33403276111,51485.86090550629,75.94361255015826,140.2043615774583,361.1068026744782,30.679583729498596,192.7830889933824,697.079977950587
673.5,4507.391417825071,8033.802747483708,23478.06256009696,1657.799751070856,12749.311334719563,47271.831777736465,63.307031152760324,116.53141656495946,296.54505545534215,25.971715096192508,158.80526357840756,571.393976482018
737.5,4007.7653944932795,6969.715228679842,20501.350791436904,1485.3209627613055,11293.866476350324,41151.41018167653,53.81135222687172,98.70994297854978,248.41568308070686,22.404456836062593,133.50859076100434,477.6164260349492
801.5,3691.6664978728168,6435.685489871184,18602.410401850244,1382.9221105860263,10250.271531378214,37436.30378162591,46.494368246637684,85.00372329657284,211.57794603342245,19.653257883611744,114.10358081725978,406.0104386737396
865.5,3367.7799097853763,5902.637199180457,17259.601342927985,1250.8637596007427,9450.118483264127,34586.07471499387,40.81945324957278,74.40925930907308,182.77595967102454,17.577637868646665,98.87687538217516,350.2107650465731
929.5,3116.698849226614,5499.897022660526,15826.658148961515,1155.7522132529034,8644.55383545777,31900.989088134087,36.25598718498974,65.8857864932129,159.97893760538707,15.881681556770221,86.81578405035565,306.0814360345629
993.5,2870.533280100747,5017.951159479138,14528.322857291932,1074.6224111746076,7986.824917481454,29143.294540401872,32.747455336762904,59.336612097545824,141.63811392275693,14.71154491201828,77.10025980051466,270.6289150083561
1057.5,2738.9021284694063,4773.190212077346,13720.73265282907,1009.6033354607454,7586.76120184488,27352.75507316058,29.776693538513012,53.77507286508313,126.66646991767789,13.660881332510701,69.17613040304055,241.689632537212
1121.5,2508.419119555046,4346.717624542773,12786.121697214692,939.8992502040189,7032.334304292298,25587.068872992248,27.295391247971555,49.12893736989189,114.3686294713546,12.769280050218722,62.66209319995542,217.94157178217213
1185.5,2313.8236793321203,3998.9372533437677,11956.477610371076,873.8856289136869,6594.031563563579,23805.000274942347,25.322007064231524,45.40884909298258,104.10362457287914,12.147754495389371,57.24054102290353,198.09356316954577
1249.5,2262.207329667724,3870.54133608327,11383.190253274966,852.2212391364708,6351.884727500768,22690.778306549288,23.62781126287196,42.245679149564324,95.40007719112334,11.632173814575141,52.60590510163844,181.38134851364413
1313.5,2119.6744778941083,3643.5602275195574,10842.411216732393,771.5913412960297,6012.769230592706,21606.351230809712,22.29862184582913,39.711713945813464,88.05387444497137,11.325226132182234,48.73476550687403,167.18509655533785
1377.5,2019.9306291885882,3471.8347104990744,10130.060257776524,762.5389735923602,5654.989233488363,20304.264582107884,21.081321347438884,37.39918125455392,81.76991727817422,10.985703770813949,45.415157883705746,155.07769344269326
1441.5,1979.5296550902963,3402.1891295595146,9892.482290425978,758.5202383556244,5454.429750187164,19651.48573104104,20.109452191235572,35.53053258797256,76.36623251107129,10.808003327472237,42.5693794141517,144.65927435075182
1505.5,1857.2970067050508,3219.8846726016245,9497.492718737836,670.110366425116,5240.106954939783,18823.810803537992,19.385609722649917,34.079504050417306,71.67197569959293,10.828353283044102,40.128236629287976,135.55730495757746
1569.5,1796.0505906430537,3081.139379647476,9014.235961454673,689.5129826768276,5030.553862915327,17845.257279651985,18.68940843396318,32.641911730188454,67.59268674529832,10.753486163250015,38.05096399034498,127.57222457508432
1633.5,1752.1352724933809,3039.574070713026,8728.419041316938,662.2366392343451,4867.446218122331,17342.20308865654,18.049540981673136,31.404863174802927,63.9572903339992,10.725640928835054,36.12325465228454,120.63540066159634
1697.5,1732.1036003255747,2985.6308754124307,8522.249905831293,646.4011913293685,4751.939203269555,16769.613622230747,17.63746515550192,30.467811984900624,60.85621345666347,10.86260290875063,34.575983893528495,114.53278058510061
1761.5,1663.8581483731898,2811.156950462143,8096.828734784984,615.8502173122068,4559.152755182117,16050.344003579105,17.285800162356697,29.659293851573974,58.05269355591165,11.057872031100546,33.164891985142546,109.06543254086151
1825.5,1591.3681579549564,2717.411909742188,8033.159108880186,589.0482007510469,4503.484737323352,15659.854339105204,17.020790823639263,28.974327127689183,55.58722531773078,11.305077646870537,31.960167607496718,104.20811604311491
1889.5,1565.2352088514742,2726.392619668963,7816.201529236877,601.9222946861895,4390.573558400462,15602.135106388077,16.85040540183906,28.4790394374608,53.372162585191916,11.67726656302188,30.864175707613935,99.89090923554278
1953.5,1564.3036698746516,2684.521630532168,7889.50937907913,600.7407142940643,4391.766044284684,15659.404077808984,16.774771583926793,28.033426495040246,51.39224072815334,12.09534032603774,29.985832779482426,95.87305532377319
