ell,Cl,dCl
33.5,0.0626711211205802,0.029200214620296906
97.5,0.1501073114685133,0.0126832124525975
161.5,0.10317260140638433,0.0075218730970128015
225.5,0.075828488225155,0.005705443979245016
289.5,0.06813267987704828,0.004635086822798158
353.5,0.04248110366593937,0.003772455768963432
417.5,0.03882219141912903,0.0030893550516867888
481.5,0.02502153596325075,0.0026121759555318134
545.5,0.02676855459952807,0.002313723510622336
609.5,0.021728423686016716,0.0021125430495182924
673.5,0.01845061823684727,0.0019347703630731104
737.5,0.013448210648751112,0.0017675236263163963
801.5,0.013439022306173143,0.001635480215583456
865.5,0.012710715107903848,0.0015434566343957424
929.5,0.012499671546054521,0.0014796512084369075
993.5,0.010937898354906574,0.0014199605968567182
1057.5,0.006798283322866576,0.00136093412480506
1121.5,0.005043802293091109,0.0013190687351459925
1185.5,0.007480601815057495,0.0013018778284655523
1249.5,0.008467171099630428,0.0013018347172352306
1313.5,0.008946557611613589,0.0013012087693460407
1377.5,0.004917325977423328,0.0012943450923064582
1441.5,0.004522895723263502,0.0012894922155023854
1505.5,0.004639253369617653,0.0012949526189068973
1569.5,0.006539098093442094,0.0013030412741449203
1633.5,0.0025789089626610862,0.0012978609492897634
1697.5,0.0033096480606738736,0.0012812922795772117
1761.5,0.0032858230392863127,0.0012633953061690062
1825.5,0.004945137498523693,0.0012575904377862515
1889.5,0.0037304847880423654,0.0012540537089560707
1953.5,0.004965358517369365,0.0012310672340153893
