ell,Cl,dCl
33.5,0.028025413325396306,0.012652791131625391
97.5,0.08331403627675348,0.006103331919117175
161.5,0.05641677062256588,0.003684220656534831
225.5,0.04300174802941915,0.002830058824930779
289.5,0.0366093038863437,0.0023319754003010293
353.5,0.02345544234068566,0.0019074433195389595
417.5,0.023127496293617204,0.0015656430014413458
481.5,0.015107819864501658,0.0013327702669974268
545.5,0.015153730764844829,0.0011859670437853918
609.5,0.012902904912356987,0.00108709794533226
673.5,0.010618016334481626,0.000998605466679694
737.5,0.008031743442122843,0.000915600561295765
801.5,0.007975591177493541,0.0008501067462633685
865.5,0.007588330013728927,0.0008047118525588276
929.5,0.007216672990989466,0.0007738667252346482
993.5,0.0056924338784746014,0.0007448151347715623
1057.5,0.004097933805025847,0.0007160820824071721
1121.5,0.00324205282410077,0.0006961143323387798
1185.5,0.004429587450719396,0.0006892894897328354
1249.5,0.0048039067226449015,0.0006907558894382562
1313.5,0.004956408146868238,0.0006925616223047765
1377.5,0.002733113318145614,0.0006907264925862188
1441.5,0.0025841198788272217,0.000689927446359183
1505.5,0.002019195239186979,0.0006951621820729113
1569.5,0.0027020767591902453,0.0007024914825909984
1633.5,0.0017049351598162929,0.0007006803982170085
1697.5,0.002584101052089438,0.0006945845042426263
1761.5,0.0016135678768896711,0.000687149235032973
1825.5,0.00286640091259219,0.000686626639034718
1889.5,0.0013702710223273482,0.0006866634501194597
1953.5,0.0024365604649100696,0.0006777844733927151
